#period	period time	calc time
665	1498	1249
666	1499	1253
667	1256	992
668	1491	1247
669	1497	1503
670	1506	1248
671	1492	1505
672	1509	989
673	1238	1249
674	1500	747
675	1246	1249
676	1499	1502
677	1505	1242
678	1501	1243
679	1492	1249
680	1497	1250
681	1500	1249
682	1498	1250
683	1500	1248
684	1497	1502
685	1749	1251
686	1499	748
687	1249	1253
688	1498	1496
689	1497	999
690	1248	1245
691	1499	1246
692	1489	1259
693	1757	1248
694	1498	1505
695	1508	994
696	1242	1248
697	1498	1249
698	1498	1250
699	1749	1249
700	1496	1751
701	2001	999
702	1500	1248
703	1500	1500
704	1745	1249
705	1498	749
706	1257	1244
707	1493	1498
708	1748	1750
709	1998	1250
710	1749	999
711	1249	1250
712	1749	1249
713	1499	1500
714	1749	1249
715	1748	1249
716	1499	1499
717	1749	1248
718	1501	1246
719	1495	1248
720	1747	1249
721	1499	1499
722	1749	1499
723	1747	1249
724	1498	1258
725	1503	1249
726	1498	1250
727	1498	1250
728	1499	1249
729	1749	1248
730	1748	1249
731	1498	1499
732	1749	1248
733	1752	1245
734	1494	1499
735	1746	1251
736	1501	1248
737	1498	1248
738	1748	1257
739	1499	1260
740	1490	1009
741	1261	1506
742	1747	1503
743	1507	1491
744	1740	1249
745	1749	1246
746	1499	1499
747	1745	1498
748	1755	1245
749	1493	1249
750	1498	1249
751	1499	1244
752	1499	1249
753	1499	1244
754	1747	1259
755	1752	1248
756	1498	1252
757	1498	999
758	1250	1248
759	1748	1249
760	1499	1249
761	1750	1247
762	1499	747
763	1247	1253
764	1498	1248
765	1498	999
766	1250	1248
767	1747	1249
768	1489	1259
769	1506	1253
770	1256	1002
771	1246	1498
772	1747	1249
773	1498	999
774	1499	1250
775	1749	1248
776	1499	1249
777	1498	1245
778	1495	1248
779	1498	1259
780	1503	1248
781	1747	1249
782	1498	1003
783	1249	1252
784	1256	991
785	1241	1248
786	1497	999
787	1246	1504
788	1754	1248
789	1497	1249
790	1498	1250
791	1499	1249
792	1494	1256
793	1260	992
794	1242	1249
795	1748	1249
796	1748	1253
797	1499	1248
798	1498	1249
799	1499	1249
800	1498	1249
801	1500	1247
802	1746	1258
803	1501	998
804	1245	1256
805	1260	991
806	1238	1252
807	1500	1251
808	1497	1252
809	1751	1247
810	1500	998
811	1244	1257
812	1261	995
813	1246	1246
814	1491	1253
815	1498	1253
816	1502	999
817	1249	1250
818	1498	999
819	1249	1247
820	1505	1243
821	1742	1499
822	1748	1249
823	1499	1249
824	1499	1249
825	1500	1248
826	1497	1249
827	1500	1248
828	1747	1255
829	1500	999
830	1248	749
831	1249	1249
832	1499	999
833	1248	1249
834	1499	1248
835	1747	1508
836	1750	1249
837	1498	1250
838	1498	999
839	1249	1249
840	1499	999
841	1249	1249
842	1498	1250
843	1749	1249
844	1499	1503
845	1506	1247
846	1492	1248
847	1498	1249
848	1499	1503
849	1506	992
850	1242	1247
851	1497	749
852	1248	1259
853	1502	998
854	1247	1249
855	1499	1250
856	1749	1249
857	1497	1249
858	1499	1250
859	1497	1004
860	1501	1249
861	1499	1004
862	1749	1245
863	1498	1258
864	1262	998
865	1236	1249
866	1498	1256
867	1259	987
868	1237	1250
869	1750	1251
870	1497	1250
871	1496	1252
872	1497	1503
873	1505	1247
874	1494	1252
875	1499	1499
876	1751	1249
877	1498	1246
878	1753	1245
879	1498	995
880	1496	1248
881	1497	1502
882	1749	1250
883	1499	1000
884	1250	1248
885	1499	1502
886	1505	1241
887	1492	1248
888	1499	1502
889	1506	991
890	1491	1249
891	1498	1001
892	1499	1249
893	1503	996
894	1495	1249
895	1499	1503
896	1509	1239
897	1488	1249
898	1499	1250
899	1498	1504
900	1507	1241
901	1490	1500
902	1749	1249
903	1499	1249
904	1494	1253
905	1503	1249
906	1499	1248
907	1497	1249
908	1499	1248
909	1749	1255
910	1499	1502
911	1506	992
912	1241	1249
913	1499	1249
914	1499	1247
915	1746	1249
916	1498	1261
917	1502	1250
918	1498	1261
919	1499	1261
920	1498	1252
921	1499	1503
922	1506	993
923	1491	1246
924	1498	1253
925	1498	1267
926	1500	1249
927	1498	1246
928	1499	1499
929	1744	1253
930	1499	1001
931	1250	1250
932	1499	1254
933	1502	1246
934	1498	1499
935	1751	1247
936	1746	1250
937	1499	1503
938	1507	992
939	1241	1252
940	1255	992
941	1491	1508
942	1513	986
943	1484	1250
944	1499	1512
945	1517	1232
946	1481	1249
947	1497	1249
948	1499	1260
949	1751	1248
950	1498	1249
951	1498	1251
952	1749	1249
953	1494	1508
954	1512	1245
955	1251	1239
956	1738	1249
957	1498	1507
958	1750	1248
959	1747	1249
960	1499	1499
961	1748	1250
962	1749	1249
963	1498	1503
964	1507	991
965	1241	1249
966	1499	749
967	1249	1503
968	1507	991
969	1490	1249
970	1499	1503
971	1506	992
972	1242	1250
973	1499	1255
974	1500	1248
975	1748	1502
976	1505	1489
977	1741	1262
978	1499	999
979	1248	1239
